day,hour,junction_id,is_rush_hour,is_weekend,weather_encoded,vehicle_count,congestion_level
1,9,J3,1,0,0,57,1
1,9,J4,1,0,2,56,1
1,9,J5,1,0,0,76,2
1,10,J1,0,0,1,40,1
1,10,J2,0,0,1,26,0
1,10,J3,0,0,2,21,0
1,10,J4,0,0,1,25,0
1,10,J5,0,0,1,37,1
1,11,J1,0,0,1,34,1
1,11,J2,0,0,2,21,0
1,11,J3,0,0,2,15,0
1,11,J4,0,0,0,16,0
1,11,J5,0,0,2,17,0
1,12,J1,0,0,2,15,0
1,12,J2,0,0,1,42,1
1,12,J3,0,0,0,21,0
1,12,J4,0,0,0,15,0
1,12,J5,0,0,1,30,1
1,13,J1,0,0,1,38,1
1,13,J2,0,0,0,25,0
1,13,J3,0,0,0,20,0
1,13,J4,0,0,2,21,0
1,13,J5,0,0,2,17,0
1,14,J1,0,0,0,17,0
1,14,J2,0,0,0,21,0
1,14,J3,0,0,0,17,0
1,14,J4,0,0,2,20,0
1,14,J5,0,0,1,38,1
1,15,J1,0,0,1,28,0
1,15,J2,0,0,1,32,1
1,15,J3,0,0,0,18,0
1,15,J4,0,0,1,34,1
1,15,J5,0,0,0,18,0
1,16,J1,0,0,0,25,0
1,16,J2,0,0,0,21,0
1,16,J3,0,0,1,30,1
1,16,J4,0,0,1,40,1
1,16,J5,0,0,2,21,0
1,17,J1,1,0,2,79,2
1,17,J2,1,0,1,86,2
1,17,J3,1,0,1,73,2
1,17,J4,1,0,0,57,1
1,17,J5,1,0,1,77,2
1,18,J1,1,0,2,62,2
1,18,J2,1,0,1,95,2
1,18,J3,1,0,1,62,2
1,18,J4,1,0,2,82,2
1,18,J5,1,0,2,78,2
1,19,J1,1,0,0,62,2
1,19,J2,1,0,0,85,2
1,19,J3,1,0,1,89,2
1,19,J4,1,0,0,72,2
1,19,J5,1,0,2,64,2
1,20,J1,0,0,1,36,1
1,20,J2,0,0,2,19,0
1,20,J3,0,0,2,17,0
1,20,J4,0,0,0,21,0
1,20,J5,0,0,2,21,0
1,21,J1,0,0,2,17,0
1,21,J2,0,0,2,24,0
1,21,J3,0,0,1,39,1
1,21,J4,0,0,0,19,0
1,21,J5,0,0,1,34,1
1,22,J1,0,0,2,24,0
1,22,J2,0,0,2,20,0
1,22,J3,0,0,1,39,1
1,22,J4,0,0,2,18,0
1,22,J5,0,0,2,22,0
1,23,J1,0,0,2,17,0
1,23,J2,0,0,2,16,0
1,23,J3,0,0,1,43,1
1,23,J4,0,0,2,24,0
1,23,J5,0,0,1,29,0
2,0,J1,0,0,2,19,0
2,0,J2,0,0,0,18,0
2,0,J3,0,0,0,15,0
2,0,J4,0,0,0,18,0
2,0,J5,0,0,1,35,1
2,1,J1,0,0,1,41,1
2,1,J2,0,0,2,18,0
2,1,J3,0,0,2,21,0
2,1,J4,0,0,1,34,1
2,1,J5,0,0,0,25,0
2,2,J1,0,0,2,15,0
2,2,J2,0,0,0,21,0
2,2,J3,0,0,0,17,0
2,2,J4,0,0,2,23,0
2,2,J5,0,0,1,33,1
2,3,J1,0,0,0,16,0
2,3,J2,0,0,1,34,1
2,3,J3,0,0,2,23,0
2,3,J4,0,0,2,24,0
2,3,J5,0,0,1,41,1
2,4,J1,0,0,2,23,0
2,4,J2,0,0,1,40,1
2,4,J3,0,0,0,22,0
2,4,J4,0,0,1,32,1
2,4,J5,0,0,2,19,0
2,5,J1,0,0,2,22,0
2,5,J2,0,0,2,18,0
2,5,J3,0,0,1,33,1
2,5,J4,0,0,2,19,0
2,5,J5,0,0,0,19,0
2,6,J1,0,0,1,38,1
2,6,J2,0,0,0,17,0
2,6,J3,0,0,0,18,0
2,6,J4,0,0,1,30,1
2,6,J5,0,0,0,21,0
2,7,J1,0,0,1,38,1
2,7,J2,0,0,1,31,1
2,7,J3,0,0,0,21,0
2,7,J4,0,0,1,34,1
2,7,J5,0,0,2,21,0
2,8,J1,1,0,1,64,2
2,8,J2,1,0,1,96,2
2,8,J3,1,0,2,76,2
2,8,J4,1,0,2,76,2
2,8,J5,1,0,1,72,2
2,9,J1,1,0,1,66,2
2,9,J2,1,0,2,72,2
2,9,J3,1,0,2,57,1
2,9,J4,1,0,0,72,2
2,9,J5,1,0,0,80,2
2,10,J1,0,0,2,24,0
2,10,J2,0,0,2,15,0
2,10,J3,0,0,0,25,0
2,10,J4,0,0,1,34,1
2,10,J5,0,0,0,15,0
2,11,J1,0,0,1,36,1
2,11,J2,0,0,0,22,0
2,11,J3,0,0,1,36,1
2,11,J4,0,0,1,35,1
2,11,J5,0,0,0,22,0
2,12,J1,0,0,0,23,0
2,12,J2,0,0,0,20,0
2,12,J3,0,0,0,25,0
2,12,J4,0,0,0,25,0
2,12,J5,0,0,0,15,0
2,13,J1,0,0,0,18,0
2,13,J2,0,0,0,24,0
2,13,J3,0,0,0,18,0
2,13,J4,0,0,0,22,0
2,13,J5,0,0,2,16,0
2,14,J1,0,0,2,18,0
2,14,J2,0,0,1,34,1
2,14,J3,0,0,0,24,0
2,14,J4,0,0,2,16,0
2,14,J5,0,0,0,19,0
2,15,J1,0,0,0,24,0
2,15,J2,0,0,0,19,0
2,15,J3,0,0,2,25,0
2,15,J4,0,0,1,34,1
2,15,J5,0,0,0,24,0
2,16,J1,0,0,2,25,0
2,16,J2,0,0,0,16,0
2,16,J3,0,0,2,19,0
2,16,J4,0,0,2,24,0
2,16,J5,0,0,0,24,0
2,17,J1,1,0,0,64,2
2,17,J2,1,0,1,82,2
2,17,J3,1,0,2,70,2
2,17,J4,1,0,0,78,2
2,17,J5,1,0,1,69,2
2,18,J1,1,0,2,80,2
2,18,J2,1,0,2,55,1
2,18,J3,1,0,0,76,2
2,18,J4,1,0,2,62,2
2,18,J5,1,0,2,76,2
2,19,J1,1,0,1,81,2
2,19,J2,1,0,1,86,2
2,19,J3,1,0,1,93,2
2,19,J4,1,0,1,92,2
2,19,J5,1,0,1,72,2
2,20,J1,0,0,1,34,1
2,20,J2,0,0,0,20,0
2,20,J3,0,0,1,34,1
2,20,J4,0,0,2,19,0
2,20,J5,0,0,2,15,0
2,21,J1,0,0,2,18,0
2,21,J2,0,0,0,18,0
2,21,J3,0,0,2,21,0
2,21,J4,0,0,1,36,1
2,21,J5,0,0,2,22,0
2,22,J1,0,0,2,22,0
2,22,J2,0,0,1,26,0
2,22,J3,0,0,1,34,1
2,22,J4,0,0,2,18,0
2,22,J5,0,0,1,44,1
2,23,J1,0,0,1,40,1
2,23,J2,0,0,2,20,0
2,23,J3,0,0,1,38,1
2,23,J4,0,0,1,36,1
2,23,J5,0,0,1,32,1
3,0,J1,0,0,0,18,0
3,0,J2,0,0,1,34,1
3,0,J3,0,0,2,17,0
3,0,J4,0,0,0,18,0
3,0,J5,0,0,2,22,0
3,1,J1,0,0,1,42,1
3,1,J2,0,0,2,19,0
3,1,J3,0,0,0,18,0
3,1,J4,0,0,1,33,1
3,1,J5,0,0,0,19,0
3,2,J1,0,0,0,23,0
3,2,J2,0,0,0,19,0
3,2,J3,0,0,0,15,0
3,2,J4,0,0,2,19,0
3,2,J5,0,0,2,17,0
3,3,J1,0,0,2,22,0
3,3,J2,0,0,0,15,0
3,3,J3,0,0,2,19,0
3,3,J4,0,0,1,39,1
3,3,J5,0,0,1,27,0
3,4,J1,0,0,1,33,1
3,4,J2,0,0,0,21,0
3,4,J3,0,0,1,35,1
3,4,J4,0,0,2,25,0
3,4,J5,0,0,0,17,0
3,5,J1,0,0,0,24,0
3,5,J2,0,0,1,29,0
3,5,J3,0,0,0,23,0
3,5,J4,0,0,1,43,1
3,5,J5,0,0,2,18,0
3,6,J1,0,0,2,21,0
3,6,J2,0,0,1,36,1
3,6,J3,0,0,2,21,0
3,6,J4,0,0,1,43,1
3,6,J5,0,0,0,24,0
3,7,J1,0,0,2,16,0
3,7,J2,0,0,0,25,0
3,7,J3,0,0,0,19,0
3,7,J4,0,0,2,16,0
3,7,J5,0,0,0,18,0
3,8,J1,1,0,0,63,2
3,8,J2,1,0,0,51,1
3,8,J3,1,0,1,93,2
3,8,J4,1,0,1,63,2
3,8,J5,1,0,2,61,2
3,9,J1,1,0,0,69,2
3,9,J2,1,0,1,99,2
3,9,J3,1,0,2,73,2
3,9,J4,1,0,1,69,2
3,9,J5,1,0,2,53,1
3,10,J1,0,0,0,16,0
3,10,J2,0,0,0,17,0
3,10,J3,0,0,1,43,1
3,10,J4,0,0,1,33,1
3,10,J5,0,0,1,35,1
3,11,J1,0,0,1,41,1
3,11,J2,0,0,1,33,1
3,11,J3,0,0,2,15,0
3,11,J4,0,0,1,39,1
3,11,J5,0,0,1,26,0
3,12,J1,0,0,0,25,0
3,12,J2,0,0,2,24,0
3,12,J3,0,0,0,25,0
3,12,J4,0,0,1,34,1
3,12,J5,0,0,0,22,0
3,13,J1,0,0,2,25,0
3,13,J2,0,0,1,31,1
3,13,J3,0,0,2,21,0
3,13,J4,0,0,2,22,0
3,13,J5,0,0,0,22,0
3,14,J1,0,0,1,36,1
3,14,J2,0,0,1,36,1
3,14,J3,0,0,0,20,0
3,14,J4,0,0,1,36,1
3,14,J5,0,0,2,21,0
3,15,J1,0,0,2,15,0
3,15,J2,0,0,1,31,1
3,15,J3,0,0,1,31,1
3,15,J4,0,0,1,33,1
3,15,J5,0,0,2,23,0
3,16,J1,0,0,1,31,1
3,16,J2,0,0,0,23,0
3,16,J3,0,0,1,41,1
3,16,J4,0,0,2,22,0
3,16,J5,0,0,0,18,0
3,17,J1,1,0,1,78,2
3,17,J2,1,0,1,91,2
3,17,J3,1,0,0,74,2
3,17,J4,1,0,0,69,2
3,17,J5,1,0,1,80,2
3,18,J1,1,0,1,61,2
3,18,J2,1,0,1,96,2
3,18,J3,1,0,0,64,2
3,18,J4,1,0,2,71,2
3,18,J5,1,0,1,95,2
3,19,J1,1,0,0,67,2
3,19,J2,1,0,0,60,2
3,19,J3,1,0,2,63,2
3,19,J4,1,0,0,59,1
3,19,J5,1,0,1,96,2
3,20,J1,0,0,0,19,0
3,20,J2,0,0,2,19,0
3,20,J3,0,0,2,24,0
3,20,J4,0,0,2,22,0
3,20,J5,0,0,0,22,0
3,21,J1,0,0,2,22,0
3,21,J2,0,0,1,38,1
3,21,J3,0,0,2,21,0
3,21,J4,0,0,1,33,1
3,21,J5,0,0,2,18,0
3,22,J1,0,0,2,21,0
3,22,J2,0,0,0,21,0
3,22,J3,0,0,0,20,0
3,22,J4,0,0,2,22,0
3,22,J5,0,0,2,21,0
3,23,J1,0,0,1,45,1
3,23,J2,0,0,0,22,0
3,23,J3,0,0,0,17,0
3,23,J4,0,0,2,24,0
3,23,J5,0,0,1,33,1
4,0,J1,0,0,0,23,0
4,0,J2,0,0,1,27,0
4,0,J3,0,0,1,37,1
4,0,J4,0,0,0,22,0
4,0,J5,0,0,1,39,1
4,1,J1,0,0,2,21,0
4,1,J2,0,0,2,16,0
4,1,J3,0,0,1,43,1
4,1,J4,0,0,1,40,1
4,1,J5,0,0,2,22,0
4,2,J1,0,0,2,15,0
4,2,J2,0,0,2,16,0
4,2,J3,0,0,0,25,0
4,2,J4,0,0,2,19,0
4,2,J5,0,0,0,16,0
4,3,J1,0,0,1,36,1
4,3,J2,0,0,2,16,0
4,3,J3,0,0,1,31,1
4,3,J4,0,0,0,15,0
4,3,J5,0,0,1,29,0
4,4,J1,0,0,1,36,1
4,4,J2,0,0,0,18,0
4,4,J3,0,0,2,21,0
4,4,J4,0,0,2,25,0
4,4,J5,0,0,0,17,0
4,5,J1,0,0,0,16,0
4,5,J2,0,0,2,21,0
4,5,J3,0,0,2,25,0
4,5,J4,0,0,0,22,0
4,5,J5,0,0,2,17,0
4,6,J1,0,0,0,22,0
4,6,J2,0,0,2,19,0
4,6,J3,0,0,1,39,1
4,6,J4,0,0,0,22,0
4,6,J5,0,0,1,43,1
4,7,J1,0,0,0,16,0
4,7,J2,0,0,1,39,1
4,7,J3,0,0,1,41,1
4,7,J4,0,0,2,19,0
4,7,J5,0,0,1,32,1
4,8,J1,1,0,1,90,2
4,8,J2,1,0,0,66,2
4,8,J3,1,0,1,81,2
4,8,J4,1,0,0,81,2
4,8,J5,1,0,1,72,2
4,9,J1,1,0,2,69,2
4,9,J2,1,0,2,75,2
4,9,J3,1,0,1,91,2
4,9,J4,1,0,1,75,2
4,9,J5,1,0,2,63,2
4,10,J1,0,0,2,25,0
4,10,J2,0,0,2,17,0
4,10,J3,0,0,2,16,0
4,10,J4,0,0,2,25,0
4,10,J5,0,0,0,19,0
4,11,J1,0,0,1,34,1
4,11,J2,0,0,1,28,0
4,11,J3,0,0,1,36,1
4,11,J4,0,0,0,18,0
4,11,J5,0,0,0,23,0
4,12,J1,0,0,1,41,1
4,12,J2,0,0,1,31,1
4,12,J3,0,0,1,34,1
4,12,J4,0,0,0,22,0
4,12,J5,0,0,0,17,0
4,13,J1,0,0,0,25,0
4,13,J2,0,0,2,25,0
4,13,J3,0,0,1,38,1
4,13,J4,0,0,0,21,0
4,13,J5,0,0,0,19,0
4,14,J1,0,0,2,16,0
4,14,J2,0,0,1,40,1
4,14,J3,0,0,2,25,0
4,14,J4,0,0,1,40,1
4,14,J5,0,0,2,20,0
4,15,J1,0,0,0,25,0
4,15,J2,0,0,0,22,0
4,15,J3,0,0,0,24,0
4,15,J4,0,0,2,20,0
4,15,J5,0,0,2,18,0
4,16,J1,0,0,2,16,0
4,16,J2,0,0,2,22,0
4,16,J3,0,0,2,19,0
4,16,J4,0,0,2,21,0
4,16,J5,0,0,0,17,0
4,17,J1,1,0,0,75,2
4,17,J2,1,0,1,72,2
4,17,J3,1,0,0,81,2
4,17,J4,1,0,0,64,2
4,17,J5,1,0,1,90,2
4,18,J1,1,0,2,70,2
4,18,J2,1,0,1,83,2
4,18,J3,1,0,2,62,2
4,18,J4,1,0,0,72,2
4,18,J5,1,0,0,66,2
4,19,J1,1,0,0,77,2
4,19,J2,1,0,0,71,2
4,19,J3,1,0,2,83,2
4,19,J4,1,0,1,66,2
4,19,J5,1,0,0,76,2
4,20,J1,0,0,1,36,1
4,20,J2,0,0,0,25,0
4,20,J3,0,0,2,24,0
4,20,J4,0,0,0,15,0
4,20,J5,0,0,1,30,1
4,21,J1,0,0,2,18,0
4,21,J2,0,0,0,23,0
4,21,J3,0,0,0,24,0
4,21,J4,0,0,0,18,0
4,21,J5,0,0,1,36,1
4,22,J1,0,0,0,19,0
4,22,J2,0,0,0,17,0
4,22,J3,0,0,2,19,0
4,22,J4,0,0,0,16,0
4,22,J5,0,0,2,15,0
4,23,J1,0,0,0,15,0
4,23,J2,0,0,1,37,1
4,23,J3,0,0,1,27,0
4,23,J4,0,0,1,27,0
4,23,J5,0,0,2,21,0
5,0,J1,0,1,2,10,0
5,0,J2,0,1,1,30,1
5,0,J3,0,1,2,16,0
5,0,J4,0,1,2,16,0
5,0,J5,0,1,0,8,0
5,1,J1,0,1,1,17,0
5,1,J2,0,1,0,9,0
5,1,J3,0,1,1,36,1
5,1,J4,0,1,2,4,0
5,1,J5,0,1,0,14,0
5,2,J1,0,1,0,11,0
5,2,J2,0,1,1,28,0
5,2,J3,0,1,2,11,0
5,2,J4,0,1,2,6,0
5,2,J5,0,1,1,25,0
5,3,J1,0,1,0,19,0
5,3,J2,0,1,2,5,0
5,3,J3,0,1,1,30,1
5,3,J4,0,1,1,27,0
5,3,J5,0,1,2,14,0
5,4,J1,0,1,1,19,0
5,4,J2,0,1,1,19,0
5,4,J3,0,1,0,10,0
5,4,J4,0,1,0,5,0
5,4,J5,0,1,2,7,0
5,5,J1,0,1,2,19,0
5,5,J2,0,1,2,7,0
5,5,J3,0,1,2,15,0
5,5,J4,0,1,1,24,0
5,5,J5,0,1,1,30,1
5,6,J1,0,1,0,9,0
5,6,J2,0,1,0,18,0
5,6,J3,0,1,1,27,0
5,6,J4,0,1,2,6,0
5,6,J5,0,1,1,32,1
5,7,J1,0,1,2,10,0
5,7,J2,0,1,2,8,0
5,7,J3,0,1,0,11,0
5,7,J4,0,1,2,6,0
5,7,J5,0,1,0,10,0
5,8,J1,1,1,1,61,2
5,8,J2,1,1,2,56,1
5,8,J3,1,1,0,53,1
5,8,J4,1,1,0,58,1
5,8,J5,1,1,1,67,2
5,9,J1,1,1,1,64,2
5,9,J2,1,1,0,70,2
5,9,J3,1,1,0,55,1
5,9,J4,1,1,2,45,1
5,9,J5,1,1,2,55,1
5,10,J1,0,1,1,25,0
5,10,J2,0,1,2,14,0
5,10,J3,0,1,1,27,0
5,10,J4,0,1,2,8,0
5,10,J5,0,1,2,4,0
5,11,J1,0,1,0,13,0
5,11,J2,0,1,2,10,0
5,11,J3,0,1,0,9,0
5,11,J4,0,1,0,10,0
5,11,J5,0,1,1,28,0
5,12,J1,0,1,2,6,0
5,12,J2,0,1,0,12,0
5,12,J3,0,1,2,15,0
5,12,J4,0,1,2,5,0
5,12,J5,0,1,0,4,0
5,13,J1,0,1,1,14,0
5,13,J2,0,1,1,32,1
5,13,J3,0,1,1,28,0
5,13,J4,0,1,0,4,0
5,13,J5,0,1,1,20,0
5,14,J1,0,1,2,6,0
5,14,J2,0,1,1,24,0
5,14,J3,0,1,2,12,0
5,14,J4,0,1,0,8,0
5,14,J5,0,1,2,8,0
5,15,J1,0,1,1,29,0
5,15,J2,0,1,2,17,0
5,15,J3,0,1,2,12,0
5,15,J4,0,1,1,31,1
5,15,J5,0,1,0,12,0
5,16,J1,0,1,0,17,0
5,16,J2,0,1,0,1,0
5,16,J3,0,1,0,7,0
5,16,J4,0,1,1,27,0
5,16,J5,0,1,2,11,0
5,17,J1,1,1,2,64,2
5,17,J2,1,1,1,67,2
5,17,J3,1,1,1,79,2
5,17,J4,1,1,0,44,1
5,17,J5,1,1,1,71,2
5,18,J1,1,1,1,89,2
5,18,J2,1,1,0,58,1
5,18,J3,1,1,1,65,2
5,18,J4,1,1,1,81,2
5,18,J5,1,1,1,70,2
5,19,J1,1,1,0,58,1
5,19,J2,1,1,2,44,1
5,19,J3,1,1,0,45,1
5,19,J4,1,1,1,67,2
5,19,J5,1,1,1,65,2
5,20,J1,0,1,1,21,0
5,20,J2,0,1,2,5,0
5,20,J3,0,1,0,6,0
5,20,J4,0,1,2,6,0
5,20,J5,0,1,1,23,0
5,21,J1,0,1,0,6,0
5,21,J2,0,1,2,2,0
5,21,J3,0,1,1,24,0
5,21,J4,0,1,1,14,0
5,21,J5,0,1,1,32,1
5,22,J1,0,1,1,22,0
5,22,J2,0,1,2,19,0
5,22,J3,0,1,2,12,0
5,22,J4,0,1,1,19,0
5,22,J5,0,1,0,12,0
5,23,J1,0,1,1,22,0
5,23,J2,0,1,0,13,0
5,23,J3,0,1,0,10,0
5,23,J4,0,1,2,2,0
5,23,J5,0,1,2,14,0
6,0,J1,0,1,0,7,0
6,0,J2,0,1,0,10,0
6,0,J3,0,1,2,3,0
6,0,J4,0,1,2,3,0
6,0,J5,0,1,1,18,0
6,1,J1,0,1,1,32,1
6,1,J2,0,1,0,5,0
6,1,J3,0,1,1,29,0
6,1,J4,0,1,2,8,0
6,1,J5,0,1,1,26,0
6,2,J1,0,1,2,6,0
6,2,J2,0,1,0,3,0
6,2,J3,0,1,1,17,0
6,2,J4,0,1,1,35,1
6,2,J5,0,1,0,7,0
6,3,J1,0,1,0,13,0
6,3,J2,0,1,2,14,0
6,3,J3,0,1,0,14,0
6,3,J4,0,1,1,14,0
6,3,J5,0,1,1,26,0
6,4,J1,0,1,1,19,0
6,4,J2,0,1,0,6,0
6,4,J3,0,1,2,5,0
6,4,J4,0,1,0,8,0
6,4,J5,0,1,1,32,1
6,5,J1,0,1,1,30,1
6,5,J2,0,1,0,9,0
6,5,J3,0,1,0,11,0
6,5,J4,0,1,2,5,0
6,5,J5,0,1,1,20,0
6,6,J1,0,1,0,13,0
6,6,J2,0,1,2,8,0
6,6,J3,0,1,0,16,0
6,6,J4,0,1,2,2,0
6,6,J5,0,1,2,11,0
6,7,J1,0,1,0,12,0
6,7,J2,0,1,1,16,0
6,7,J3,0,1,0,7,0
6,7,J4,0,1,0,10,0
6,7,J5,0,1,0,7,0
6,8,J1,1,1,0,70,2
6,8,J2,1,1,2,65,2
6,8,J3,1,1,0,45,1
6,8,J4,1,1,2,51,1
6,8,J5,1,1,2,36,1
6,9,J1,1,1,1,58,1
6,9,J2,1,1,2,60,2
6,9,J3,1,1,0,48,1
6,9,J4,1,1,2,42,1
6,9,J5,1,1,2,47,1
6,10,J1,0,1,0,16,0
6,10,J2,0,1,0,9,0
6,10,J3,0,1,0,7,0
6,10,J4,0,1,1,22,0
6,10,J5,0,1,2,7,0
6,11,J1,0,1,0,3,0
6,11,J2,0,1,1,35,1
6,11,J3,0,1,1,28,0
6,11,J4,0,1,1,25,0
6,11,J5,0,1,1,22,0
6,12,J1,0,1,1,25,0
6,12,J2,0,1,2,5,0
6,12,J3,0,1,1,35,1
6,12,J4,0,1,1,25,0
6,12,J5,0,1,1,30,1
6,13,J1,0,1,1,25,0
6,13,J2,0,1,2,8,0
6,13,J3,0,1,1,24,0
6,13,J4,0,1,1,14,0
6,13,J5,0,1,0,10,0
6,14,J1,0,1,1,27,0
6,14,J2,0,1,0,12,0
6,14,J3,0,1,2,7,0
6,14,J4,0,1,0,9,0
6,14,J5,0,1,0,5,0
6,15,J1,0,1,1,17,0
6,15,J2,0,1,2,18,0
6,15,J3,0,1,1,27,0
6,15,J4,0,1,0,3,0
6,15,J5,0,1,2,11,0
6,16,J1,0,1,1,29,0
6,16,J2,0,1,0,12,0
6,16,J3,0,1,1,30,1
6,16,J4,0,1,0,10,0
6,16,J5,0,1,2,6,0
6,17,J1,1,1,2,45,1
6,17,J2,1,1,0,50,1
6,17,J3,1,1,0,62,2
6,17,J4,1,1,2,75,2
6,17,J5,1,1,1,73,2
6,18,J1,1,1,1,90,2
6,18,J2,1,1,0,68,2
6,18,J3,1,1,0,42,1
6,18,J4,1,1,0,58,1
6,18,J5,1,1,1,78,2
6,19,J1,1,1,2,36,1
6,19,J2,1,1,0,50,1
6,19,J3,1,1,2,56,1
